"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"HDH","HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-6,0963","64,6892","293,5710","23,5713","650,3759","-","-"
"HPF","HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİS.SEN.YOĞ.FON)","Serbest Şemsiye Fonu","-5,1645","26,8939","153,5498","9,7469","359,6647","856,3166","-"
"TCD","TACİRLER PORTFÖY DEĞIŞKEN FON","Değişken Şemsiye Fonu","6,2133","39,2653","111,4657","13,6893","158,0316","462,0728","601,1278"
"FYA","İSTANBUL PORTFÖY ARK II SERBEST FON","Serbest Şemsiye Fonu","3,8388","24,7694","52,2228","8,5038","153,2772","-","-"
"OPH","OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","4,3218","38,2135","90,3669","19,1829","123,3914","-","-"
"GMR","GEDİK PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,6496","29,7285","72,9481","14,6803","114,9689","227,6547","423,5077"
"RBH","ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,9520","17,8832","74,7266","10,6525","112,1734","-","-"
"TKF","TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,1434","16,2690","58,2201","5,9180","111,4912","306,5760","565,9709"
"OPI","OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,6870","34,8783","76,3117","14,6934","108,1594","-","-"
"MPS","MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","Hisse Senedi Şemsiye Fonu","1,3623","25,5947","55,4678","12,7543","106,4241","173,8856","-"
"SRY","AZİMUT PORTFÖY SKY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","73,3415","54,1473","66,6023","59,0423","101,8245","-","-"
"IAR","İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","1,2275","36,5186","52,1209","21,8429","99,6026","-","-"
"MAC","MARMARA CAPITAL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,3378","14,9932","53,9960","3,5328","94,4131","236,0786","381,7248"
"IPJ","İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON","Karma Şemsiye Fonu","-1,0630","9,0964","35,7173","4,9803","90,7901","-","-"
"FRA","AZIMUT PORTFÖY MAB SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,8037","25,6033","79,1874","4,6850","90,5606","-","-"
"TTE","İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","4,2013","33,4441","56,4775","17,8973","88,1930","153,6356","400,5435"
"STZ","STRATEJİ PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,6328","19,8293","60,4196","7,8807","85,2379","-","-"
"TCS","TACİRLER PORTFÖY SİRİUS SERBEST FON","Serbest Şemsiye Fonu","2,1797","19,3427","51,7501","8,0387","84,5251","-","-"
"FPH","FİBA PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,4326","19,9017","50,7840","6,6622","81,8620","147,3406","213,8678"
"AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-4,0555","-1,6875","12,5629","-0,7340","80,0432","244,5721","573,2006"
"UPH","ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,3924","25,5577","66,2598","11,3239","77,9307","-","-"
"ISS","İŞ PORTFÖY DEĞER SERBEST ÖZEL FON","Serbest Şemsiye Fonu","6,8537","23,3615","41,0848","7,5695","75,7242","-","-"
"IAS","QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-1,2242","15,8162","31,6217","8,4143","75,5146","125,8614","382,4453"
"AIR","AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","40,6099","56,7141","48,6434","66,5523","74,9017","-","-"
"ST1","STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,2633","22,1129","51,3312","6,7063","74,8324","146,5917","240,2126"
"DNO","DENİZ PORTFÖY NECLA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,8717","25,5674","49,3407","12,6026","73,1127","-","-"
"ZPE","ZİRAAT PORTFÖY KATILIM ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,2172","18,7733","47,5814","6,2480","72,7373","137,1969","232,7357"
"IPR","İŞ PORTFÖY ICARUS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2,9408","-2,1565","9,9153","1,5191","70,6898","-","-"
"YAS","YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,4522","23,3574","61,3837","9,3047","68,1239","81,2744","142,6132"
"IIS","İSTANBUL PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","4,8220","18,0421","33,2569","7,9888","66,0803","-","-"
"IPU","İŞ PORTFÖY AS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-0,9084","-3,4791","-1,8310","1,1868","64,6788","-","-"
"YDI","YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,0892","19,9503","49,4560","9,2024","62,2068","96,0308","196,1171"
"YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-3,2752","-4,0920","10,9976","-2,0239","62,1701","187,8221","466,3335"
"TPP","TEB PORTFÖY PUSULA SERBEST FON","Serbest Şemsiye Fonu","3,6575","16,2975","-","9,3000","62,0097","-","-"
"SRO","AZİMUT PORTFÖY SKY SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2,4822","21,0147","52,8599","5,4462","59,7578","-","-"
"IPC","İŞ PORTFÖY CK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-0,3945","-2,7702","8,1724","0,6215","59,5414","-","-"
"AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-0,3838","1,7702","27,1147","2,7547","59,3389","116,8364","308,2837"
"TI3","İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,3075","8,1843","42,1262","0,8861","58,2705","80,9831","210,5128"
"AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","2,0435","22,1313","49,2662","6,5049","56,8252","71,9761","139,8113"
"DPT","DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","Hisse Senedi Şemsiye Fonu","2,8878","23,4723","52,8866","8,6414","56,4144","51,7307","-"
"GL1","AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,0014","17,7070","48,7145","6,6866","56,1337","162,0970","349,7089"
"AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,9326","19,2245","44,5583","5,0208","55,6346","87,1926","243,0290"
"IPK","İŞ PORTFÖY KOS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,5447","-0,7108","2,9335","2,3600","54,9865","-","-"
"HVS","HSBC PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,1447","20,6790","52,0459","5,2207","54,9686","114,5008","283,4392"
"IPB","İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,0824","13,5280","40,0380","9,6373","54,7903","116,4291","184,6612"
"HDS","HEDEF PORTFÖY SERBEST FON","Serbest Şemsiye Fonu","2,3514","24,9032","43,3781","12,6585","54,1532","-","-"
"EID","QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,8631","10,6416","39,4650","0,8639","54,0451","155,6891","247,2363"
"ALC","AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,4787","21,7640","49,6150","7,4886","53,9109","51,7326","139,5039"
"AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","2,3531","-0,7981","14,8611","2,6951","53,8130","156,6715","343,9694"
"OSF","OSMANLI PORTFÖY BALKAN SERBEST FON","Serbest Şemsiye Fonu","-0,4035","5,9533","28,2474","1,9822","53,7699","118,4786","-"
"OSH","OSMANLI PORTFÖY MİNERVA SERBEST FON","Serbest Şemsiye Fonu","-0,5112","39,2695","71,1966","14,0266","53,6344","-","-"
"AYA","ATA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,2959","18,5032","43,3075","5,9151","53,4429","79,6740","219,9701"
"KYA","KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,7549","20,9308","50,2127","7,3076","53,3379","42,5940","128,3712"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,2294","18,0192","43,7142","5,4595","53,0246","77,6883","136,0130"
"YPP","YAPI KREDİ PORTFÖY PY KUZGUNCUK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,2808","23,0330","43,5896","7,4581","50,6990","-","-"
"FYD","QNB FINANS PORTFÖY BIRINCI HISSE SENEDI FONU (HISSE SENEDI YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,1666","21,6051","51,5526","6,1717","49,0441","68,1311","202,6051"
"ISR","İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,9091","-0,0878","11,3500","3,6085","48,7954","-","-"
"GBG","GEDİK PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","8,2698","4,0584","19,3620","5,9614","46,5617","119,5819","294,5395"
"DPL","DENİZ PORTFÖY NİL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","4,6655","3,7521","23,0546","9,7648","46,2539","-","-"
"AII","AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","7,8921","3,0309","15,9918","6,5734","46,2463","-","-"
"IBR","AZİMUT PYŞ MUTLAK GETİRİ HEDEFLİ SERBEST FON","Serbest Şemsiye Fonu","18,0309","13,7173","24,7899","17,8976","45,6895","104,1717","152,2867"
"GSP","AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,3326","19,2785","42,3968","8,2149","45,5650","106,7956","181,1806"
"GHS","GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,0446","18,0355","47,9413","5,2436","45,3907","69,0495","172,8644"
"DBG","DENİZ PORTFÖY BEYAZ SERBEST ÖZEL FONU","Serbest Şemsiye Fonu","0,8007","-3,2907","2,5557","1,2720","45,3693","-","309,7952"
"TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","3,2998","0,1403","10,0269","2,2813","45,1242","131,4850","242,4282"
"HSA","HSBC PORTFÖY DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,3512","17,0702","32,9730","7,0506","44,7202","119,8373","248,0449"
"TYH","TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,7056","18,4103","44,3919","6,5347","44,5533","63,5399","169,0116"
"FID","FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,0359","9,5617","29,3713","4,0527","44,5482","109,8699","166,2601"
"OHB","OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,3488","16,8880","43,9355","3,3389","44,3331","74,1786","-"
"ODV","AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,1198","9,7231","23,2995","4,6301","44,0916","96,2119","-"
"FRZ","AZİMUT PORTFÖY FRZ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2,8586","12,1349","34,1788","4,6814","43,5426","-","-"
"OPB","OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,2205","12,6519","29,9290","6,9945","43,4436","-","-"
"GME","GEDİK PORTFÖY EGE SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,6418","1,7514","8,2059","1,8700","42,8014","-","-"
"TFF","TEB PORTFÖY YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-2,4191","-3,7686","9,3368","-1,9208","42,5639","141,6022","-"
"IPA","İŞ PORTFÖY SÜTAŞ İKİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-0,7702","16,5865","36,9972","5,3470","42,5198","-","167,7460"
"IAF","İSTANBUL PORTFÖY ARK I SERBEST FON","Serbest Şemsiye Fonu","4,4440","4,6973","16,9473","2,7784","42,2904","-","-"
"DAH","DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,2442","12,4895","38,6240","2,0300","42,0970","37,9788","117,4041"
"AHZ","AZİMUT PYŞ ATAK SERBEST FON","Serbest Şemsiye Fonu","-0,3838","9,0685","25,5826","2,7943","40,5640","133,8384","-"
"GUH","GARANTİ PORTFÖY YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,1869","-2,9336","12,3249","-0,9813","40,0816","103,4454","254,4147"
"AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,1409","9,6783","19,7114","4,2317","40,0317","-44,6184","-40,7291"
"TLH","AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,2941","10,4321","38,1438","5,2537","39,8039","39,2633","143,1642"
"GBC","AZİMUT PYŞ YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,2032","-7,9783","-3,8837","-7,4098","39,5638","145,2084","274,2632"
"ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3,0521","15,2286","40,7046","4,6393","38,9864","100,9828","132,2368"
"TPR","İŞ PORTFÖY PY HİSSE SENEDİ ÖZEL FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,6960","15,1078","39,4009","4,3357","38,2159","42,5905","127,2149"
"TLZ","ATA PORTFÖY ANALİZ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","5,1613","19,4484","42,0975","9,8088","37,8677","-","-"
"OKD","OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,2077","9,4629","25,9634","2,5085","37,8325","95,4423","203,4090"
"KUB","KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU","Değişken Şemsiye Fonu","3,5278","3,2088","17,6879","5,8160","37,7017","143,9181","271,5347"
"ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1079","-0,5531","9,2353","2,1120","37,2523","-","-"
"GMA","AZİMUT PYŞ ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,0138","13,6068","26,1014","7,5344","36,9606","120,6516","239,7749"
"YHS","YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,6315","13,0256","34,8642","3,7616","35,7769","47,7473","127,7276"
"IPO","İŞ PORTFÖY ONUR SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-0,4076","-1,8055","13,3480","-2,1569","35,7610","-","-"
"ICF","ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,2883","12,1240","35,6642","2,2646","35,3352","50,1373","141,6785"
"FUP","QNB FİNANS PORTFÖY BAYSAN SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","6,7939","2,7363","15,3760","5,9813","34,5962","-","-"
"ECA","GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,0345","10,5887","24,4957","3,5632","34,4803","77,4009","118,3741"
"SPE","AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","2,3466","1,2521","11,8513","3,9879","34,4596","-","-"
"TZD","ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,7262","12,6917","33,2265","3,5639","34,3378","38,8771","129,3328"
"PUD","AK PORTFÖY AKY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","5,4443","2,1982","12,3436","4,8332","34,2761","-","-"
"AHV","AZİMUT PYŞ DENGELİ SERBEST FON","Serbest Şemsiye Fonu","0,6260","7,0259","18,6322","3,1273","34,1117","116,5098","-"
"TI2","İŞ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,3489","14,0921","38,2954","1,2831","33,2826","34,0814","104,7823"
"MPP","MEKSA PORTFÖY PRİME SERBEST FON","Serbest Şemsiye Fonu","-4,9907","-7,4797","-0,4913","-3,7944","33,2006","160,5419","-"
"DDE","DENİZ PORTFÖY BADE SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,2092","-0,3161","12,0625","0,3320","32,8286","-","-"
"YKS","YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON","Serbest Şemsiye Fonu","0,7029","8,9085","20,5000","1,7804","32,7281","-","-"
"ARM","AK PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,4949","7,0911","16,4073","3,7476","32,6795","88,1269","140,2452"
"YAN","YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,5147","3,9066","15,7387","1,8913","32,5323","95,9488","-"
"TGE","İŞ PORTFÖY EMTIA YABANCI BYF FON SEPETI FONU","Fon Sepeti Şemsiye Fonu","10,9109","10,3190","19,9809","12,8631","32,2701","68,6043","170,5342"
"DPP","DENİZ PORTFÖY HLC SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","6,6883","1,5149","14,2480","4,7826","32,0376","-","-"
"DPG","DENİZ PORTFÖY ESMER SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,5229","-1,1324","11,7160","1,3726","31,9438","-","-"
"AFV","AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","5,1955","-2,6376","9,0287","0,4780","31,8856","88,9715","208,6919"
"APP","AK PORTFÖY P1 SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,8467","-1,3145","6,7612","1,7693","31,7851","129,4412","223,8044"
"GAF","GEDİK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,7397","11,5398","37,9032","1,6590","31,5429","61,2913","111,1821"
"YTD","YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,3729","-3,9890","4,2380","-0,0512","31,3961","125,4744","216,5418"
"FPE","FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ)FONU","Borçlanma Araçları Şemsiye Fonu","3,5162","-2,0234","8,7722","0,8705","31,3538","126,1281","-"
"DZE","DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,4320","13,8579","37,0890","3,2288","31,2353","28,6298","100,9170"
